depth,a,t,delta,has_contract,threshold_est,tension,v2_last,n_mod
1,0,1,1,True,0.0,None,None,31750000
2,2,9,503,True,0.009940357852882704,2.8391838910715586,8,1116211
3,3,4,-11,False,None,0.84123967142861,2,107156263
4,4,5,-49,False,None,0.7886621919643219,1,160734395
5,5,6,-179,False,None,0.7571157042857489,1,241101593
6,6,8,-473,False,None,0.84123967142861,2,180826195
7,7,9,-1675,False,None,0.8111953974490168,1,271239293
8,8,12,-2465,False,None,0.9463946303571862,3,101714735
9,9,13,-11491,False,None,0.9113429773809941,1,152572103
10,10,14,-42665,False,None,0.8833016550000404,1,228858155
11,11,15,-144379,False,None,0.8603587548701692,1,343287233
12,12,17,-400369,False,None,0.8938171508928981,2,257465425
13,13,19,-1070035,False,None,0.9221281013736687,2,193099069
14,14,22,-588665,False,None,0.9914610413265761,3,72412151
15,15,23,-5960299,False,None,0.9674256221429014,1,108618227
16,16,24,-26269505,False,None,0.9463946303571862,1,162927341
17,17,27,5077565,True,66.78083746835344,1.0020649027311384,3,61097753
18,18,22,-383226185,False,None,0.7711363654762258,1,5865386363
19,19,23,-1153872859,False,None,0.7637570701128169,1,8798079545
20,20,25,-3453229969,False,None,0.7886621919643219,2,6598559659
21,21,26,-10393244339,False,None,0.7811511234694236,1,9897839489
22,22,28,-31112624153,False,None,0.8030015045454912,2,7423379617
23,23,30,-93069437003,False,None,0.8229518524845097,2,5567534713
24,24,32,-278134569185,False,None,0.84123967142861,2,4175651035
25,25,33,-838698674851,False,None,0.8328272747143239,1,6263476553
26,26,35,-2507506089961,False,None,0.849328514423116,2,4697607415
27,27,36,-7556878008251,False,None,0.8412396714286099,1,7046411123
28,28,37,-22739353501489,False,None,0.8337286029337116,1,10569616685
29,29,40,-67530865737107,False,None,0.870247935960631,3,3963606257
30,30,42,-201493085583545,False,None,0.8833016550000404,2,2972704693
31,31,47,-476935907928619,False,None,0.956570916705113,5,278691065
32,32,49,-1290070235430529,False,None,0.9661111851562942,2,209018299
33,33,50,-4433160659712899,False,None,0.955954172077966,1,313527449
34,34,52,-12173582072296073,False,None,0.9649513878151703,2,235145587
35,35,53,-41024345844258715,False,None,0.9554079125510642,1,352718381
36,36,56,-78037041259071185,False,None,0.9814462833333784,3,132269393
37,37,58,-162053529739285619,False,None,0.9890250191120145,2,99202045
38,38,61,954991291540701863,True,2.6970918575058334,1.012808288627866,3,37200767
39,39,57,-3908439964943120395,False,None,0.9221281013736686,1,1785639437
40,40,60,-11004743954450081825,False,None,0.9463946303571862,3,669614789
41,41,64,-18026252303461234787,False,None,0.9848659567944701,4,125552773
42,42,68,185728916047840466647,True,1.9592355656677252,1.0215053153061693,4,23541145
43,43,66,-254469991099698871163,False,None,0.9684038078073534,5,282509483
44,44,67,-837196949593934819953,False,None,0.9607339429383556,1,423764225
45,45,69,-2364016896192128046931,False,None,0.9674256221429015,2,317823169
46,46,71,-6501754878217678489081,False,None,0.9738263587733365,2,238367377
47,47,73,-17144081393218212860395,False,None,0.9799547236322638,2,178775533
48,48,76,-4208579350958186444225,False,None,0.9989721098214743,3,67040825
49,49,78,62932125673039764086461,True,10.713753619445681,1.0043371587464016,2,50280619
50,50,78,-415666532788195295093705,False,None,0.9842504155714737,5,150843203
51,51,79,-1549231053268243178957659,False,None,0.9773225594538263,1,226264805
52,52,83,3210324667690360098717167,True,3.442938284888688,1.0070609528159804,4,42424651
53,53,80,-18174319848065390722090547,False,None,0.9523467978437095,1,1018198127
54,54,81,-55731885363810801340977817,False,None,0.9463946303571862,1,1527297191
55,55,82,-169613507730661662372345803,False,None,0.9406589053247185,1,2290945787
56,56,83,-513676226470443503815862113,False,None,0.9351280276148388,1,3436418681
57,57,85,-1531357272854413478049936931,False,None,0.9408601588346295,2,2577314011
58,58,86,-4632757444790908567740408425,False,None,0.9355165311576784,1,3865971017
59,59,88,-13820901081917389436040030011,False,None,0.941047768038784,2,2899478263
60,60,89,-41772188255573513376844871089,False,None,0.9358791344643286,1,4349217395
61,61,90,-125935534786363230267984175379,False,None,0.9308799642857569,1,6523826093
62,62,93,-371616904162662789429456905017,False,None,0.9463946303571862,3,2446434785
63,63,95,-1104947192173705326089177721259,False,None,0.9514020093537852,2,1834826089
64,64,97,-3275227495263983809470761188609,False,None,0.9562529077567402,2,1376119567
65,65,98,-9984138810820480103599371466499,False,None,0.9512479361538897,1,2064179351
66,66,99,-30269329082518497661172290200841,False,None,0.9463946303571863,1,3096269027
67,67,100,-91441812547669607684265222205211,False,None,0.9416861993603843,1,4644403541
68,68,110,1019945825190013395875338306073263,True,0.9371677491393293,1.0206216601891225,10,13606651
69,69,107,-672125891501867170380279318407155,False,None,0.9783983135093616,1,326581901
70,70,110,-1205081290359534694182947903780825,False,None,0.991461041326576,3,122468213
71,71,115,34028908353298896224297254675503221,True,0.8355639027450965,1.0219284740946142,5,11481395
72,72,109,-21879362437622320958273835833620129,False,None,0.9551575436012343,1,2204914355
73,73,110,-66287124420183816328387819542012899,False,None,0.9507160670254838,1,3307371533
74,74,113,-192371002187382914449500338214513577,False,None,0.9634467858591176,3,1240264325
75,75,117,-442113288240243225006708110083818235,False,None,0.9842504155714736,4,232549561
76,76,119,-1160186365247615190907148447716411633,False,None,0.987903166776361,2,174412171
77,77,120,-4145173093635303509173348873289407187,False,None,0.9832671484230506,1,261618257
78,78,122,-11106291285120994654616239559587876985,False,None,0.9868388453297156,2,196213693
79,79,125,-6734313939664666505772577473156739435,False,None,0.9983065721067366,3,73580135
80,80,126,-62738237684111307450239558348441244737,False,None,0.9937143618750456,1,110370203
81,81,127,-273285304782568538216562326903265787075,False,None,0.9892355395503099,1,165555305
82,82,129,-649714730887236382917999676993913255497,False,None,0.992560222081927,2,124166479
83,83,130,-2629708926503586075680748245845276189403,False,None,0.9882032284854154,1,186249719
84,84,131,-9250256247194512080895743167262901414033,False,None,0.9839499728316777,1,279374579
85,85,132,-30473027676951043950394226361242849933747,False,None,0.9797967937815575,1,419061869
